days,ret_raw_pct,ret_qfq_pct,q1_ret_gap_pt,q2_flip_days,q3_max_fake_gap_pt,code
242,27.04,39.02,11.982,6,6.733,000001
242,-14.12,-13.12,1.0,0,1.168,000301
242,-27.58,-24.23,3.342,1,4.45,000568
236,-1.29,-0.22,1.066,0,1.167,000657
242,9.64,13.34,3.696,1,1.788,000807
242,59.24,59.8,0.563,1,0.35,000977
242,14.41,18.47,4.061,5,3.345,001979
242,1.05,1.54,0.495,0,0.509,002074
242,24.39,25.96,1.572,1,0.591,002241
242,64.88,67.61,2.728,3,1.669,002384
242,19.95,20.83,0.88,0,0.751,002475
241,0.59,0.59,0.002,0,0.264,002602
242,46.38,91.52,45.142,1,24.371,002837
242,-13.06,-11.99,1.071,0,1.213,300015
242,-13.55,21.89,35.44,0,29.14,300274
242,5.22,5.4,0.173,0,0.152,300418
242,140.94,141.3,0.358,0,0.142,300502
242,-9.36,-8.17,1.192,1,1.27,300832
242,15.33,15.56,0.23,1,0.2,301269
242,-15.38,-13.57,1.809,1,2.148,600011
242,7.58,9.5,1.916,0,1.824,600025
242,19.77,21.46,1.694,3,1.434,600031
242,97.31,112.75,15.441,4,4.971,600066
242,5.77,5.94,0.169,0,0.185,600118
242,-0.04,1.13,1.171,1,1.169,600196
242,16.55,20.91,4.36,0,3.658,600346
242,-9.88,-8.53,1.348,0,0.991,600436
242,-9.56,-6.24,3.317,2,2.043,600519
242,6.4,10.73,4.332,8,3.772,600585
242,9.24,14.66,5.414,13,4.793,600741
242,7.95,11.21,3.26,1,3.033,600875
242,-3.1,-2.56,0.541,0,0.471,600918
242,23.94,27.3,3.352,4,1.82,600958
242,7.24,10.12,2.88,5,2.384,601018
242,34.28,41.34,7.062,7,5.083,601088
242,51.41,55.63,4.222,0,2.67,601138
242,52.5,68.25,15.754,12,6.244,601229
242,59.29,65.92,6.629,10,2.834,601336
242,30.09,33.27,3.181,0,1.215,601600
242,31.48,38.4,6.919,6,4.949,601658
242,93.1,93.08,0.016,0,0.128,601727
242,33.45,40.73,7.278,14,5.206,601818
242,9.04,12.17,3.131,0,2.734,601877
242,5.84,6.71,0.866,0,0.526,601901
242,-9.7,-8.87,0.835,1,0.635,601995
242,-9.63,28.32,37.949,11,30.054,603296
242,18.69,18.69,0.001,0,0.014,603986
242,29.52,29.82,0.3,0,0.223,688012
242,-5.62,-5.28,0.339,0,0.334,688111
242,-17.22,-15.92,1.298,2,1.483,688303
